SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION
Isaac L Clark,Rober Moore,Dare B Mulford,Schooner 3 masted,1874,"Bridgeton, NJ",12/17/1882,1882,12,17,Sandy Hook Point,,,Stranded,,,120.8,32,8.2,318,,"Camden, NJ","Georgetown, DC","New York, NY",E A Cranmer,7,,0,"$15,000","$3,000",507 tons coal,Sandy Hook,N,N,N,"#100109; Renamed ""Rober Moore"""
James W Drury (1882),,Kilham Lord & Co,Schooner 3 masted,1872,"East Boston, MA",9/10/1882,1882,9,10,Townsends Inlet E 1 mi,,,Stranded in storm,Wood,US,144.9,32.8,16.4,451,,"Boston, MA","Bath, ME","Philadelphia, PA",Studley,8,,0,"$25,000",$700,Ice,,N,N,N,#75534; Refloated
Jefferson,,Tupper & Beattie,Schooner 3 masted,1874,"Brooklyn, NY",12/14/1882,1882,12,14,Barnegat Shoal,,,Grounded,Wood,US,124.6,30,11.5,325,,"New York, NY","Mobile, AL","New York, NY",J E Gibbs,8,,0,"$20,000","$12,000",Lumber,Barnegat #17,N,N,N,#75639; Refloated
Julia (1882),,Dickson,Schooner,,,2/4/1882,1882,2,4,Barnegat Inlet,,,Grounded in storm,,,,,,11,,"Tuckerton, NJ","New York, NY","Atlantic City, NJ",Dickson,2,,0,$800,$125,laths,Barnegat #17,N,N,N,Refloated
L C Wallace (1882),,,Sloop,,,11/3/1882,1882,11,3,Atlantic City LSS NE .75 mi,39.37086,-74.40332,Stranded,,,,,,16.61,,"Absecon, NJ","Absecon, NJ","New York, NY",Higbee,2,,0,"$1,000",$25,Oysters & clams,Atlantic City #27,N,N,N,#140166; Refloated undamaged
Lizzie D Small,,Elwood Doran,Schooner,1866,,12/30/1882,1882,12,30,Squan Beach,,,Collision w/ unknown steamer,Wood,US,109.3,27,8.3,185.15,180.72,"Philadelphia, PA","New York, NY","Petersburg, VA",George W Warwick,6,,1,"$12,000","$5,000",Guano,,N,N,Y,#15065; Partial loss
Maggie Ellen,,,Schooner 3 masted,1874,"Cape Elizabeth, ME",4/22/1882,1882,4,22,Atlantic City LSS ENE 5 mi,39.38744,-74.32432,Stranded,,,110,28.8,8.6,217.44,206.57,"Portland, ME","Kennebec River, ME","Atlantic City, NJ",Littlejohn,6,,0,"$8,000","$1,800",,Atlantic City #27 & 25,N,N,N,#90630; Refloated
Maggie Stuphen,,,Schooner,1879,"Port Republic, NJ",7/6/1882,1882,7,6,Ship Bottom LSS S 1 mi,,,Grounded,Wood,,41.8,14.4,4.5,16.48,15.66,"Somers Point, NJ","New York, NY","Great Egg Harbor, NJ",Smith,2,,,"$1,500",$25,Coal,Ship Bottom #20,N,N,N,#91192; Refloated
Mary E Amsden,,,Schooner,1865,"Portsmouth, NH",11/5/1882,1882,11,5,Cape May,,,Leaking in a gale,,,,,11.6,344.08,326.8,"Calais, ME","New York, NY","Richmond, VA",Maguire,8,,0,"$15,000","$15,000","RR iron, blasting powder, & soda",,N,N,N,#16176; Towed to Philadelphia for repairs
Nankin,,G V Clover,Steamship,1872,England,4/28/1882,1882,4,28,Sandy Hook Romer Shoal Stone Beacon,,,"Collision w/ ""George W Clyde""",Iron,England,330.6,38,26,2423,1850,"London, England","New York, NY","Liverpool, England",Casson,38,,0,,,In ballast,Sandy Hook #1,Y,Y,N,Broke up; total loss
Nuphar,,J Robinson & Co,Steamship,1881,"Newcastle, England",9/23/1882,1882,9,23,Townsends Inlet SE 2 mi,,,Wrecked,Iron,England,287,37,21.9,1963,1280,"North Shields, England","New Castle, England","Philadelphia, PA",Brooks,23,,0,"$150,000","$150,000",General,,Y,Y,N,#84860; Total loss
Ocean Star (1882),,,Sloop,1875,"Absecon, NJ",2/28/1882,1882,2,28,Townsends Inlet North bar,,,Stranded,,,,,,13,,"Somers Point, NJ","Hog Island, VA","Townsends Inlet, NJ",Ryder,3,,0,"$1,500",$150,Oysters,Townsend #34,N,N,N,#19443; Refloated
Pliny,,"Liverpool, Brazil, River Platt SS Co",Steamship,1878,"Barrow, England",5/13/1882,1882,5,13,Deal Beach,40.23611,-73.99166,Stranded,Iron,England,288,33.3,24,1671,1060,"Liverpool, England","Rio de Janiero, Brazil","New York, NY",Robert Mitchell,36,25,0,"$200,000","$258,000","Coffee, hides, etc","Long Branch #5, Shark River #7",A,Y,Y,#1327; Total loss
Rachel S Miller,,E B Wheaton & Co,Schooner,1852,"Philadelphia, PA",3/4/1882,1882,3,4,"Ocean City, NJ",,,Stranded,Wood,,100.4,27.8,9.1,196.15,,"Camden, NJ","Norfolk, VA","Port Elizabeth, NJ",Conover,5,0,0,"$3,500",$600,Ties & lumber,,,,N ,#21502
Recruit,,,Schooner,1872,"Newtown, MD",12/18/1882,1882,12,18,Turtle Gut Inlet ENE 1 mi,,,Stranded,,,,,,16.89,,"Chincoteague, VA","New York, NY","Chincoteague, VA",Taylor,3,,0,"$2,000",$200,Coal & brick,Turtle Gut,N,N,N,#110227; Refloated
Salier,,,Steamship,1875,"Hull, England",12/11/1882,1882,12,11,Sandy Hook,,,Stranded,Iron,Germany,354,39,,3098,,"Bremen, Germany","Bremen, Germany","New York, NY",,,341,0,,,,,,,N,
Shekinah (1882),,,Schooner,1869,"Millville, NJ",1/30/1882,1882,1,30,Little Egg LSS S 1 mi,,,Grounded,,,80.6,22.3,6,83.5,,"Bridgeton, NJ","Chincoteague, VA","New York, NY",Shaw,4,,0,"$3,000",$250,Cordwood,Little Egg #23,N,N,N,#115018; Refloated
Thetis (1882),,F Gogorzas & Sons,Brig,1871,"Baltimore, MD",3/16/1882,1882,3,16,Ship Bottom LSS S .25 mi,,,Stranded in storm,Wood,US,128,27,14.1,323,,"New York, NY","Bonaire, WI","New York, NY",Yuist,8,6,0,"$12,000","$15,000",Salt & Rye wood,"Harvey Cedars #19, Ship Bottom #20, Long Beach #21",N,N,N,#24863; Total loss
Thomas W H White,,,Schooner 3 masted,1867,"Tuckerton, NJ",4/12/1882,1882,4,12,Sandy Hook LSS NNW 3.25 mi,,,Stranded,,,114.6,29.6,9.2,214,203.03,"New York, NY",Virginia,"New York, NY",Smith,6,,0,"$16,000","$2,000",Pine wood,Sandy Hook,N,N,N,#24956; Refloated
Three Cheers,,J A Moren & Co,Brig,1873,"Guysborough, NS",3/24/1882,1882,3,24,Ship Bottom SW 1 mi,,,Stranded,Wood,England,102,25.8,11.2,185,,"Halifax, NS","Manzamillo, Cuba","New York, NY",B McConnell,7,,0,"$6,000","$18,000",Sugar & Molasses,Ship Bottom,N,N,N,#69051; Refloated
W J Stairs,,Alex Roy,Bark,1879,"Maitland, NS",3/2/1882,1882,3,2,Long Branch LSS N 1 mi,40.28888,-73.97222,Stranded,Wood,England,189,33.2,22,1062,,"Maitland, NS","Liverpool, England","New York, NY",Kenneth McKenzie,14,,1,"$30,000","$7,000",Salt,Long Beach #21,A,Y,N,Total loss
Water Lily,,,Sloop,,,~1882,1882,,,South Brigantine Beach,39.38560,-74.36569,Stranded,,,,,,,,,,,,,,,,,,,A,,N,
William C Wickham,,Z S Steelman,Schooner,1880,"Milford, DE",1/2/1882,1882,1,2,Brigantine Shoal,39.42135,-74.33004,Stranded,Wood,,131.6,32.6,10.7,329.82,,,"New York, NY","Richmond, VA",Z S Steelman,7,,0,"$25,000","$30,000",500 ton RR Iron & steel,Atlantic City,N,N,N,#80785; Refloated; no damage
William H Vanneman,,,Sloop,,,10/22/1882,1882,10,22,Cold Spring bar,,,Stranded,,,,,,10.31,,"Bridgeton, NJ","Cape May, NJ",Fishing service,Sutton,2,,0,$900,,,Turtle Gut #40,,,N,#80565
William L White,,J B Phillips,Schooner,1880,"Bath, ME",11/19/1882,1882,11,19,Five Fathom Bank Lightship ESE 30 mi,,,"Collision w/ ""Algiers""",Wood,,177.9,40,17,995,,"Fall River, MA","Alexandria, VA","Providence, RI",W J Harper,9,,0,"$55,000","$8,500",1450 ton coal,,Y,Y,N,#80770; Total loss
William Tell (1882),,,Sloop fishing ,,,9/16/1882,1882,9,16,Absecon Inlet,,,Grounded,,,,,,24.59,,"Somers Point, NJ","Atlantic City, NJ",Fishing service,Somers,3,,0,"$1,000",,,Atlantic City #27,N,N,N,#26719; Refloated
William Tell (1882),,,Sloop fishing ,,,12/29/1882,1882,12,29,Absecon Inlet E 1 mi,,,Stranded,,,,,,24.59,,"Somers Point, NJ","Atlantic City, NJ",Fishing service,Scull,3,,0,"$1,000",$80,Fish,,Y,Y,N,#26719; Total loss
Ada F Crosby,,John Baizley & Sons,Bark,1875,"Calais, ME",10/5/1881,1881,10,5,Del-Mar-Va E 200 mi,37.50000,-72.33330,Leaking; Abandoned at sea,Wood,US,140,32.2,14.8,559.31,,"Philadelphia, PA","Philadelphia, PA","Portland, ME",A F Ullmer,10,0,1,"$42,000","$3,500",819 ton Coal,,F,Y,N,#105648; Total loss; Rescued by Mary C Haskell
Ajace,,E R Zino,Bark,1872,"Voltri, Italy",3/4/1881,1881,3,4,"Rockaway Shoals, NY",40.54812,-73.92411,Stranded,Wood,Italy,144,32,19,566,,"Genoa, Italy","Antwerp, Belgium","New York, NY",F Morice,15,0,14,,,Iron rails; barrels,NY #36,A,Y,N,Total loss
Anson Stimson,,Pigeon Hill Granite Co,Schooner 3 masted,1874,"Salisbury, MA",1/16/1881,1881,1,16,Atlantic City LSS N 1.25 mi,39.37884,-74.39656,Stranded in fog,,US,117.6,28,9.2,224,,"Gloucester, MA","Macoris, San Domingo","New York, NY",McLane,6,1,0,"$17,000","$18,000","Sugar, molasses",Atlantic City #28,A,Y,Y,#105397; Total loss
Arctic,,,Brig,1874,"Wilmot, ON, CA",11/23/1881,1881,11,23,Squan Point LSS E 400 yds,40.11651,-74.02663,Stranded & burned,,England,112.2,28.2,12.5,274,,"Annapolis, NS","Trieste, Austria","New York, NY",Oxelgren,9,,0,"$8,000","$40,000",General,Squan Point #11,A,Y,N,Total loss
Atlas (1881),,,Brig,,,2/2/1881,1881,2,2,New York SE 90 mi,,,In distress,,US,,,,,,,,,,,,0,,,,,N,N,N,Towed to New York
Auguste,,,Bark,,,3/1/1881,1881,3,1,Sandy Hook Romer Shoal,,,Stranded,,Germany,,,,,,,"Havana, Cuba","Boston, MA",,,,,,,Sugar,,,,N,
Blanche Hopkins (051881),,J A Hopkins,Schooner,1880,"Coopers Point, NJ",5/15/1881,1881,5,15,Cold Spring Inlet,,,Stranded,Wood,US,152.5,36.4,16.4,634.54,602.81,"Philadelphia, PA","Boston, MA","Philadelphia, PA",,8,,0,,,In Ballast,Cape May #39,N,N,N,#3136; Refloated
Blanche Hopkins (111881),,J A Hopkins,Schooner,1880,"Coopers Point, NJ",11/8/1881,1881,11,8,Great Egg Harbor,,,"Collision w/ ""Hatteras""",Wood,US,152.5,36.4,16.4,634.54,602.81,"Philadelphia, PA","Philadelphia, PA","Boston, MA",,8,,0,"$33,000","$4,200",850 ton coal,,N,N,N,#3136; Repaired
Caroline (1881),,,Sloop,,,7/1/1881,1881,7,1,Man Killer Island,,,,,,,,,7,,"New York, NY","New York, NY","Atlantic City, NJ",Lynn,2,,0,$300,,None,#27,,,N,
Carrie S Hart,,S H Cady et al,Schooner 3 masted,1873,"Fall River, MA",12/21/1881,1881,12,21,Cape May Point,,,Stranded,,,,,,529,,"Providence, RI","Boston, MA","Philadelphia, PA",,8,,0,"$25,000",,In ballast,Cape May #40,N,N,N,#125121; Refloated
Carrie S Webb (1881),,Bentley Gildersleeve & Co,Schooner,1867,"Westerly, RI",3/1/1881,1881,3,1,,,,Stranded,,,100,28.6,9,196,,"Brookhaven, NY",Puerto Rico,"New York, NY",  ,7,,0, , , ,,Y,Y,N,#5425; Sunk
Charles M Newins (1881),,W H Thompson,Schooner,1860,"Port Jefferson, NY",1/28/1881,1881,1,28,Barnegat LSS E 1 mi,,,Grounded,Wood,US,113,30.3,15.8,384.11,364.91,"New York, NY","Mobile, AL","New York, NY",Tuttle,7,,0,"$10,000","$5,000",,,N,N,N,#4780; Refloated
Cissie Wright,,,Schooner,,,10/19/1881,1881,10,19,Cape May LSS E 1.25 mi,,,Grounded,,,,,,386,,"Philadelphia, PA","Providence, RI","Philadelphia, PA",Clark,7,,0,"$25,000",,In ballast,Cape May #40,N,N,N,Refloated
Commander,,,Schooner,1863,"New Haven, CT",12/30/1881,1881,12,30,Sandy Hook LSS W 1.5 mi,,,Stranded,,,,,,277.27,263.41,"Boston, MA","Baltimore, MD","New York, NY",Hall,6,,0,"$6,500","$1,400",Coal,Sandy Hook #1,N,N,N,#4868; Refloated
Cremona,,,Bark,1867,"Mystic, CT",5/24/1881,1881,5,24,Point Pleasant LSS E 1.5 mi,,,Stranded in fog,Wood,US,`,,,607.91,,"Boston, MA","Marseilles, France","New York, NY",,13,,,,,In ballast,Point Pleasant #10,N,N,N,#5506; Refloated
D M Anthony (1881),,,Schooner,1873,"Fall River, MA",12/27/1881,1881,12,27,Sandy Hook LSS NNE 1.5 mi,,,Stranded,Wood,US,146.7,36.7,15.5,555.91,528.12,"Taunton, MA","Baltimore, MD","Boston, MA",Moore,8,,0,"$25,000","$2,500",Coal,Sandy Hook #1,N,N,N,#6798; Refloated
E B Fithian (1881),,C A Clemont,Schooner,1864,"Greenwich, NJ",9/21/1881,1881,9,21,Hereford Inlet South bar,,,Stranded,Wood,US,49.2,17.2,4.9,25.5,24.23,"Camden, NJ","Hog Island, VA","New York, NY",J B Higbee,3,,0,"$1,500","$1,000",21 ton sweet potato,Hereford Inlet #36,N,N,N,#8020; Refloated
E J Hamilton,,,Schooner,1873,"Nyack, NY",5/20/1881,1881,5,20,Sandy Hook Point,,,Stranded,,,111,30,8,188,178.67,"New York, NY",Virginia,"New York, NY",Inman,6,,0,"$5,000","$1,000",Wood,,N,N,N,#8923; Refloated
Fannie L Nye,,,Schooner,,,6/21/1881,1881,6,21,Highland Lights E 25 mi,,,Collision,,,,,,70,,"Cohasset, ME","Provincetown, MA",Fishing trip,,,,3,,,in Ballast,,N,N,N,#9145; Partial loss
G Brothers,,,Canal boat,,,1/22/1881,1881,1,22,Sandy Hook E 4 mi,,,Foundered,,,,,,,,,"New York, NY","South Amboy, NJ",,,,6,,,,,N,N,N,"5 of 6 boats went down; Towed by ""Heath"""
Gardner,,,Canal boat,,,1/22/1881,1881,1,22,Sandy Hook,,,Foundered in storm,,,,,,,,,"New York, NY","South Amboy, NJ",,,,2,,,,,Y,Y,N,5 of 6 boats went down together
Hannah M Buell (1881),,Philip Wheaton,Schooner,1873,"Camden, NJ",12/21/1881,1881,12,21,Absecon Inlet,,,"Collision w/ ""James Veldran""",Wood,US,,,,291.24,276.68,"Philadelphia, PA","Fall River, MA","Philadelphia, PA",Griffith Ireland,7,0,0,"$16,000",,None,,N,N,N,#95250; Repaired
Hatfield,,,Bark,,,~ 1881,1881,,,Brigantine Inlet,39.43333,-74.30833,Foundered,,,,,,,,,,,,,,,,,Jute & flax,,A,,N,
Hatteras,,Old Dominion SS Co,Steamship,1865,"Williamsburg, LI",11/8/1881,1881,11,8,Great Egg Harbor,,,"Collision w/ ""Blanche Hopkins""",Wood,US,171.5,33.5,10.3,868,,"New York, NY",,,Boaz,,,0,,,,,N,N,N,#11477; Returned to New York for repairs
Hattie J,,,Schooner,1864,"Great Egg Harbor, NJ",9/24/1881,1881,9,24,Great Egg Harbor Inlet North side,,,Stranded,,,,,,30,28.53,"Somers Point, NJ","Somers Point, NJ","New York, NY",Campbell,3,,0,$800,$100,Wood,,N,N,N,#11262 Refloated
Hattie Perry,,,Schooner,1862,"Bath, ME",10/19/1881,1881,10,19,Cape May Point; 1 1/2 mi E LSS #40,,,Stranded,,,,,,174.12,,"New Bedford, MA","New Bedford, MA","Philadelphia, PA",Chase,5,,0,"$8,000","$2,400",Lumber & sperm whale oil,Sta #40,N,N,N ,#95182; Refloated; ship and cargo saved
Hattie S Collins,,,Schooner,1867,"East Haven, CT",3/28/1881,1881,3,28,Barnegat Inlet North side,,,Grounded,,,97,26,7,122.77,116.63,"New Haven, CT","Boothbay, ME","Barnegat, NJ",,5,,0,"$5,000",$400,30 ton Ice,,,,N ,#11341
Heath,,,Tow boat,,,1/20/1881,1881,1,20,Sandy Hook,,,5 boats lost; 6 in tow,,,,,,,,,"New York, NY","South Amboy, NJ",,,,2,,,,,Y,Y,N ,1 of 6 boats in tow; sunk
J and C Merritt (1881),,,Schooner,1866,"English Creek, NJ",11/24/1881,1881,11,24,Great Egg Harbor Inlet North side,,,Stranded,,,,,,35.41,33.64,"Somers Point, NJ","Somers Point, NJ","New York, NY",Booy,3,,0,"$2,000","$3,000",,,N,N,N,"#12901; Refloated; See ""Hattie J"""
James Veldran,,A & J Pharo,,,,12/21/1881,1881,12,21,Absecon Inlet,,,"Collision w/ ""Hannah M Buell""",Wood,US,,,,208.94,,"Tuckerton, NJ","James River, VA","New York, NY",William Loveland,6,,,,"$1,100",Wood,,,,N,
John Roach,,,Schooner,,,2/2/1881,1881,2,2,Absecon Inlet South bar,,,Stranded in ice,,,,,,30,,"Greenport, NY","New York, NY",Fishing trip,Darby,8,,0,"$2,200",,,Atlantic City #27,Y,Y,N,Total loss
Joseph and Franklin,Joseph Franklin,,Schooner,1874,,6/9/1881,1881,6,9,Hereford Inlet,,,"Collision w/ ""Pottsville""",,,,,,1283,,"New York, NY",,,,,,0,"$158,000",,,,Y,Y,N,"Crew rescued by ""Pottsville""; Drifted to Cape Henlopen"
Joseph F Baker,,C S Stillwell,Schooner,1874,"Kennebunk, ME",12/31/1881,1881,12,31,Townsends Inlet South bar,,,Stranded,,,,,,463.55,440.38,"Sag Harbor, NY","New York, NY","Baltimore, MD",Davies,8,,0,"$2,500",,In ballast,Townsends #34; Lulams Beach #33; Stone Harbor #35,N,N,N,#75654; Refloated
Julia A Reid,,,Sloop,1879,"Absecon, NJ",8/15/1881,1881,8,15,Absecon Inlet South bar,,,Stranded,,,,,,11,,"Somers Point, NJ",,,Steelman,12,,0,"$1,000",,,Atlantic City #27,N,N,N,#76082; Refloated
Julie,,,Schooner,,,2/25/1881,1881,2,25,Absecon LSS ENE .5 mi,,,Leaking badly,,,,,,,,"Somers Point, NJ",,,,2,,,,,,Absecon # 28,N,N,N,Piloted into Absecon Inlet
L T Whitmore,,,Schooner,1874,"Rockland, ME",3/26/1881,1881,3,26,Brigantine Shoal,,,Stranded in Nor'easter,,,,,,295.22,280.46,"Rockland, ME","Alexandria, VA","New York, NY",,7,1,,,,Corn,Atlantic City #27,N,N,N,#15980; Refloated
Lizzie K Clark,,Clark & Sons,Schooner,1869,"Essex, MA",3/25/1881,1881,3,25,Barnegat SSE 20 mi,,,Capsized in storm,,,78,21,7,79.19,,"Gloucester, MA","Gloucester, MA",Fishing cruise,Ambrose Melanson,14,,0,"$5,000","$3,323",,,Y,Y,N,Total loss; Crew rescued by Pilot Boat #3
Lucy (1881),,,Schooner,,,10/7/1881,1881,10,7,Sandy Hook LSS,,,Stranded,,,,,,,,"Greenpoint, NY","Greenpoint, NY",,Heron,2,,0,$400,,Fish,Sandy Hook #1,N,N,N,Refloated
Margharita Lauro,,Lauro Bros,Bark,1861,"Sunderland, England",1/18/1881,1881,1,18,,,,Disabled,,Italy,112,27.2,16.6,309,309,Castellammare de Stabia. Italy,,,,,,,,,,,N,N,N,Towed into New York
Marian E Rockhill,M E Rockhill,A R Pharo,Schooner,1867,,11/27/1881,1881,11,27,Sandy Hook,,,Collision,,US,,,,284.79,,"Tuckerton, NJ","Georgetown, DC","New York, NY",William B Anderson,6,,0,"$8,000","$2,000",40 ton coal,,,,N,#90042
Mary S Ewing,,,Schooner,,,5/7/1881,1881,5,7,Cold Spring Inlet South bar,,,Stranded,,,,,,,,"Bridgeton, NJ","Newburgh, NY","Cape May, NJ",,4,1,,,,Flagstones,Cape May #39,N,N,N,Refloated
N N,,"Cramer, Haighton & Co",Schooner 3 masted,1868,Venersberg,3/19/1881,1881,3,19,Little Egg LSS N 1.5 mi,39.51670,-74.27963,Wrecked,,Netherlands,96.8,23.5,11.5,181,176,"Amsterdam, Netherlands","Samarang, Java","New York, NY",Van Duzvenbode,7,,0,"$5,000","$100,000",Coffee & Rattan,Little Egg #22 & 23,A,Y,N,Ship lost; crew saved
Roraima,,Thoe Ruger,Steamship,1879,"Hartlepool, England",2/1/1881,1881,2,1,Shark River Inlet,,,Stranded,Iron,England,225.6,31,17.2,1178,761,"London, England","Demerara, British Guiana","New York, NY",,21,2,0,,,In ballast,Shark River # 7,N,N,Y,Refloated
Sansego,,Mircovich,Bark,,,3/11/1881,1881,3,11,Absecon Inlet,,,"Collision w/ ""Star of Scotia""",,Austria,,,,560,,,"Calcutta, India","New York, NY",Mircovich,12,3,,,,,,Y,Y,N ,Total Loss  Sunk
Shekinah (1881),,,Schooner,1869,"Millville, NJ",5/1/1881,1881,5,1,Cold Spring Inlet South bar,,,Stranded,,,80.6,22.3,6,83.5,,"Bridgeton, NJ","Malden, NY","Cape May, NJ",Shaw,5,,0, , ,Stone flagging,Cape May #39,N,N,N,#115018; Refloated
Sprite,,,Yacht steam,,,3/30/1881,1881,3,30,Barnegat Inlet,,,Grounded,,,,,,12,,"Newark, NJ","Newark, NJ","Toms River, NJ",Taylor,3,,0,"$3,000",,None,Barnegat,N,N,N,#115594; Refloated
Transit,,Thos Duntham's Nephew & Co,Ship,1860,"Bath, ME",4/14/1881,1881,4,14,Toms River LSS N 1 mi,,,Stranded,Wood,,172,35,23,1133,,"Bath, ME","Liverpool, England","New York, NY",Robert T A Hagen,16,,0,,,General,Toms River #13,N,N,N,#24058; Refloated; Near Old Cranberry Inlet
Veloz,,,Brig,,,2/12/1881,1881,2,12,Point Pleasant LSS N,40.06955,-74.04025,Stranded,,,,,,145,,"Barcelona, Spain",Puerto Rico,"New York, NY",Zugasti,18,,0,"$3,500",$0,In ballast,Pt Pleasant #10,A,Y,N,Total loss
Walter W Pharo,,A J Collins,,,,11/4/1881,1881,11,4,Sandy Hook E,,,Collision,Wood,US,,,,247.33,,"Tuckerton, NJ","York River, VA","Wilmington, DE",N B Pharo,6,0,0,"$2,500",,None,,Y,Y,N,#26589; Vessel lost
Wells,,,Sloop,,,1/19/1881,1881,1,19,Sandy Hook,,,Grounded,,,,,,45,,,,,,,,,,,Oysters,,Y,Y,N,Broke apart
William D Carghill,,,Schooner,1854,"Brooklyn, NY",4/3/1881,1881,4,3,Brigantine Shoal,,,Stranded,,,94.5,26.2,8.1,140.94,133.19,"Rockland, ME",,,,4,,,,,Lumber,"Brigantine #25, Atlantic City #27",N,N,N,#26647; Refloated
William H Mills (1881),,Ebenezer Parker,Sloop,,,1/21/1881,1881,1,21,Sandy Hook LSS E 1 mi,40.47023,-73.98039,Stranded in ice,Wood,US,,,,11.83,,"Little Egg Harbor, NJ","Little Egg Harbor, NJ","New York, NY",James W Parker,2,,0,$800,$450,Oysters,Sandy Hook #1,A,Y,N,#80412; Total loss
William P Hood,,,Schooner,1880,"Bath, ME",10/4/1881,1881,10,4,Cape May LSS SW .75 mi,,,Stranded,,,,,,665.97,,"Somerset, MA","Boston, MA","Philadelphia, PA",Davis,9,,0,"$35,000",,In ballast,Cape May #40,N,N,N,#80757; Refloated
Zetland,,C D Snow,Brig,1872,Nova Scotia,11/2/1881,1881,11,2,Beasleys LSS SW 2 mi,39.26269,-74.59155,Stranded,,England,112.2,29,12.5,288,237,"Liverpool, NS","Turks Is., West Indies","Philadelphia, PA",D C Hicks,9,,0,"$10,000","$5,000",Salt,Beasleys #30 & Pecks #31,A,Y,N,#66732; Total loss
A D Scull,,,Schooner,1864,,4/18/1880,1880,4,18,Townsends Inlet,,,Grounded,Wood,US,,,,395,375,Great Egg Harbor,"Fall River, MA","New Castle, DE",Frambus,7,0,0,"$8,000","$1,000",Barrels,#34 Townsend's Inlet,N,N,N,#501; Refloated
Achorn,,,Schooner,,,3/18/1880,1880,3,18,Absecon E 9 mi,,,"Collision w/ ""Maria and Elizabeth""",,,,,,87.4,,"Trenton, NJ",,,,4,0,1,,,,Stone Harbor #35 & Hereford Inlet #36,Y,Y,N,#105378; Sank
Angie Predmore (1880),,John Predmore,Schooner,1869,"Barnegat, NJ",12/26/1880,1880,12,26,Little Beach,,,Stranded,,,81.3,24.9,7.2,93.9,,"Tuckerton, NJ",,,,6,,0,"$2,500","$2,000",,Little Beach,N,N,N,#1799; Refloated
Annie Gardner,,J W Gardner,Brig,1867,"Castine, ME",10/29/1880,1880,10,29,Five Fathom Bank,,,Sprang leak in gale,Wood,US,110,28.8,9.6,,214,"Castine, ME","St John, NB","Philadelphia, PA",Joseph A Varmum,,,,,,Laths,,N,N,N,#1516; Partial loss
Augustina,,,Brig,,,2/3/1880,1880,2,3,"Monmouth Beach, NJ",40.35666,-73.94166,Stranded in storm,,Spain,,,,168,,"Barcelona, Spain","Havana, Cuba","New York, NY",Artiz,8,,0,"$3,000","$5,100",Cedar & hides,Monmouth Beach #4,A,Y,Y,Total loss
Bessie Morris,,John Mager Sr,Schooner 3 masted,1869,"Philadelphia, PA",11/21/1880,1880,11,21,Hereford Light  E 3 mi,,,"Collision w/ ""Forest Oak""",Wood,,129.2,31.6,15.9,425,425,"Philadelphia, PA","Providence, RI","Philadelphia, PA",John Mager Jr,7,,0,"$12,000",,None,,,,N,
C G Cranmer,,,Schooner 3 masted,1864,,10/26/1880,1880,10,26,Vineyard Haven E 5 mi,,,Collision,Wood,US,,,,222,,"Tuckerton, NJ","Boston, MA","Philadelphia, PA",James Cranmer,,,0,"$12,000",,None,,,,N,#4523
C H Foster,,C H Foster,Schooner 3 masted,1872,"Duxbury, MA",9/28/1880,1880,9,28,Barnegat Inlet NE 1.5 mi,,,Grounded in fog,,US,126,30.2,14.6,385,,"Boston, MA","Boston, MA","Philadelphia, PA",Coombs,7,,,,,In ballast,"Forked River, Island Beach, Barnegat, Loveladies",N,N,N,#125054; Refloated
Castalia,,,Brig,1874,"Richmond, ME",2/3/1880,1880,2,3,"Highlands, NJ",`,,Grounded in storm,,,130.7,30.8,17,516.26,490.45,"Bath, ME","Galveston, TX","New York, NY",Elmes,11,,0,"$12,000","$94,000",Cotton,Seabright #3,N,N,N,#125233; Refloated
Charles Dennis,,E S Nightingale,Schooner,1859,"Stonybrook, NY",12/31/1880,1880,12,31,Delaware Bay,,,Crushed in ice,,,109.4,29.2,10.2,293,,"Providence, RI","Port Richmond, PA","New Bedford, MA",,5,,0,,,Coal,Cape May #40,Y,Y,N,#4776; Sank
China Wreck,D H Bills; USS Huron,Daniel Jones,Bark,1861,"Boston, MA",3/1880,1880,3,,Delaware Breakwater E 3.5 mi,,,Foundered in storm,Wood,England,167,28,18,594,,"Newport, England","Chepstow, England","Wilmington, NC",Sjobeck,13,,13,,,"China, Salt",,Y,Y,N,Full of china & artifacts
D H Bills,China Wreck; USS Huron,Daniel Jones,Bark,1861,"Boston, MA",3/1880,1880,3,,Delaware Breakwater E 3.5 mi,,,Foundered in storm,Wood,England,167,28,18,594,,"Newport, England","Chepstow, England","Wilmington, NC",Sjobeck,13,,13,,,"China, Salt",,Y,Y,N,Full of china & artifacts
